"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-27",,"87","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-28",,"88","68"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-29",,"87","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-30",,"90","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-31",,"86","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-01",,"83","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-02",,"88","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-03",,"88","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-04",,"91","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-05",,"89","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-06",,"89","62"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-07",,"92","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-08",,"87","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-09",,"89","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-10",,"92","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-11",,"95","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-12",,"93","72"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-13",,"94","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-14",,"96","68"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-15",,"93","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-16",,"82","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-17",,"91","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-18",,"91","69"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-19",,"90","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-20",,"92","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-21",,"93","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-22",,"93","71"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-23",,"94","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-24",,"79","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-25",,"82","62"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-26",,"85","59"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-27",,"85","59"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-28",,"82","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-29",,"87","60"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-30",,"86","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-08-31",,"87","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-01",,"91","62"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-02",,"92","59"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-03",,"84","61"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-04",,"90","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-05",,"91","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-06",,"90","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-07",,"87","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-08",,"84","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-09",,"85","61"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-10",,"82","59"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-11",,"82","56"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-12",,"87","60"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-13",,"87","62"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-14",,"90","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-15",,"91","61"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-16",,"91","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-17",,"88","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-18",,"91","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-19",,"88","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-20",,"85","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-21",,"88","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-22",,"76","59"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-23",,"77","60"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-24",,"80","55"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-25",,"84","58"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-26",,"82","61"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-27",,"87","58"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-09-28",,"87","61"
